"PassengerId","Sex","Age","FamCnt","Pclass","Embarked","Survived"
1,1,22,1,3,3,0
2,2,38,1,1,1,1
3,2,26,0,3,3,1
4,2,35,1,1,3,1
5,1,35,0,3,3,0
6,1,0,0,3,2,0
7,1,54,0,1,3,0
8,1,2,4,3,3,0
9,2,27,2,3,3,1
10,2,14,1,2,1,1
11,2,4,2,3,3,1
12,2,58,0,1,3,1
13,1,20,0,3,3,0
15,2,14,0,3,3,0
16,2,55,0,2,3,1
17,1,2,5,3,2,0
18,1,0,0,2,3,1
19,2,31,1,3,3,0
20,2,0,0,3,1,1
21,1,35,0,2,3,0
22,1,34,0,2,3,1
23,2,15,0,3,2,1
25,2,8,4,3,3,0
26,2,38,6,3,3,1
27,1,0,0,3,1,0
28,1,19,5,1,3,0
29,2,0,0,3,2,1
30,1,0,0,3,3,0
31,1,40,0,1,1,0
32,2,0.9,1,1,1,1
33,2,0,0,3,2,1
34,1,66,0,2,3,0
35,1,28,1,1,1,0
36,1,42,1,1,3,0
37,1,0,0,3,1,1
38,1,21,0,3,3,0
39,2,18,2,3,3,0
40,2,14,1,3,1,1
41,2,40,1,3,3,0
42,2,27,1,2,3,0
43,1,0,0,3,1,0
44,2,3,3,2,1,1
45,2,19,0,3,2,1
46,1,0,0,3,3,0
47,1,0,1,3,2,0
48,2,0,0,3,2,1
49,1,0,2,3,1,0
50,2,18,1,3,3,0
51,1,7,5,3,3,0
52,1,21,0,3,3,0
53,2,49,1,1,1,1
54,2,29,1,2,3,1
55,1,65,1,1,1,0
56,1,0,0,1,3,1
57,2,21,0,2,3,1
58,1,28.5,0,3,1,0
59,2,5,3,2,3,1
60,1,11,7,3,3,0
61,1,22,0,3,1,0
62,2,38,0,1,0,1
63,1,45,1,1,3,0
64,1,4,5,3,3,0
65,1,0,0,1,1,0
66,1,0,2,3,1,1
67,2,29,0,2,3,1
68,1,19,0,3,3,0
69,2,17,6,3,3,1
70,1,26,2,3,3,0
71,1,32,0,2,3,0
72,2,16,7,3,3,0
73,1,21,0,2,3,0
74,1,26,1,3,1,0
75,1,32,0,3,3,1
76,1,25,0,3,3,0
77,1,0,0,3,3,0
78,1,0,0,3,3,0
79,1,0.83,2,2,3,1
80,2,30,0,3,3,1
81,1,22,0,3,3,0
82,1,29,0,3,3,1
83,2,0,0,3,2,1
84,1,28,0,1,3,0
85,2,17,0,2,3,1
86,2,33,3,3,3,1
87,1,16,4,3,3,0
88,1,0,0,3,3,0
89,2,23,5,1,3,1
90,1,24,0,3,3,0
91,1,29,0,3,3,0
92,1,20,0,3,3,0
93,1,46,1,1,3,0
94,1,26,3,3,3,0
95,1,59,0,3,3,0
96,1,0,0,3,3,0
97,1,71,0,1,1,0
98,1,23,1,1,1,1
99,2,34,1,2,3,1
100,1,34,1,2,3,0
101,2,28,0,3,3,0
102,1,0,0,3,3,0
103,1,21,1,1,3,0
104,1,33,0,3,3,0
105,1,37,2,3,3,0
106,1,28,0,3,3,0
107,2,21,0,3,3,1
108,1,0,0,3,3,1
109,1,38,0,3,3,0
110,2,0,1,3,2,1
111,1,47,0,1,3,0
112,2,14.5,1,3,1,0
113,1,22,0,3,3,0
114,2,20,1,3,3,0
115,2,17,0,3,1,0
116,1,21,0,3,3,0
117,1,70.5,0,3,2,0
118,1,29,1,2,3,0
119,1,24,1,1,1,0
120,2,2,6,3,3,0
121,1,21,2,2,3,0
122,1,0,0,3,3,0
123,1,32.5,1,2,1,0
124,2,32.5,0,2,3,1
125,1,54,1,1,3,0
126,1,12,1,3,1,1
127,1,0,0,3,2,0
128,1,24,0,3,3,1
129,2,0,2,3,1,1
130,1,45,0,3,3,0
131,1,33,0,3,1,0
132,1,20,0,3,3,0
133,2,47,1,3,3,0
134,2,29,1,2,3,1
135,1,25,0,2,3,0
136,1,23,0,2,1,0
137,2,19,2,1,3,1
138,1,37,1,1,3,0
139,1,16,0,3,3,0
140,1,24,0,1,1,0
141,2,0,2,3,1,0
142,2,22,0,3,3,1
143,2,24,1,3,3,1
144,1,19,0,3,2,0
145,1,18,0,2,3,0
146,1,19,2,2,3,0
147,1,27,0,3,3,1
148,2,9,4,3,3,0
149,1,36.5,2,2,3,0
150,1,42,0,2,3,0
151,1,51,0,2,3,0
152,2,22,1,1,3,1
153,1,55.5,0,3,3,0
154,1,40.5,2,3,3,0
155,1,0,0,3,3,0
156,1,51,1,1,1,0
157,2,16,0,3,2,1
158,1,30,0,3,3,0
159,1,0,0,3,3,0
160,1,0,10,3,3,0
161,1,44,1,3,3,0
162,2,40,0,2,3,1
163,1,26,0,3,3,0
164,1,17,0,3,3,0
165,1,1,5,3,3,0
166,1,9,2,3,3,1
167,2,0,1,1,3,1
168,2,45,5,3,3,0
169,1,0,0,1,3,0
170,1,28,0,3,3,0
171,1,61,0,1,3,0
172,1,4,5,3,2,0
173,2,1,2,3,3,1
174,1,21,0,3,3,0
175,1,56,0,1,1,0
176,1,18,2,3,3,0
177,1,0,4,3,3,0
178,2,50,0,1,1,0
179,1,30,0,2,3,0
180,1,36,0,3,3,0
181,2,0,10,3,3,0
182,1,0,0,2,1,0
183,1,9,6,3,3,0
184,1,1,3,2,3,1
185,2,4,2,3,3,1
186,1,0,0,1,3,0
187,2,0,1,3,2,1
188,1,45,0,1,3,1
189,1,40,2,3,2,0
190,1,36,0,3,3,0
191,2,32,0,2,3,1
192,1,19,0,2,3,0
193,2,19,1,3,3,1
194,1,3,2,2,3,1
195,2,44,0,1,1,1
196,2,58,0,1,1,1
197,1,0,0,3,2,0
198,1,42,1,3,3,0
199,2,0,0,3,2,1
200,2,24,0,2,3,0
201,1,28,0,3,3,0
202,1,0,10,3,3,0
203,1,34,0,3,3,0
204,1,45.5,0,3,1,0
205,1,18,0,3,3,1
206,2,2,1,3,3,0
207,1,32,1,3,3,0
208,1,26,0,3,1,1
209,2,16,0,3,2,1
210,1,40,0,1,1,1
211,1,24,0,3,3,0
212,2,35,0,2,3,1
213,1,22,0,3,3,0
214,1,30,0,2,3,0
215,1,0,1,3,2,0
216,2,31,1,1,1,1
217,2,27,0,3,3,1
218,1,42,1,2,3,0
219,2,32,0,1,1,1
220,1,30,0,2,3,0
221,1,16,0,3,3,1
222,1,27,0,2,3,0
223,1,51,0,3,3,0
224,1,0,0,3,3,0
225,1,38,1,1,3,1
226,1,22,0,3,3,0
227,1,19,0,2,3,1
228,1,20.5,0,3,3,0
229,1,18,0,2,3,0
230,2,0,4,3,3,0
231,2,35,1,1,3,1
232,1,29,0,3,3,0
233,1,59,0,2,3,0
234,2,5,6,3,3,1
235,1,24,0,2,3,0
236,2,0,0,3,3,0
237,1,44,1,2,3,0
238,2,8,2,2,3,1
239,1,19,0,2,3,0
240,1,33,0,2,3,0
241,2,0,1,3,1,0
242,2,0,1,3,2,1
243,1,29,0,2,3,0
244,1,22,0,3,3,0
245,1,30,0,3,1,0
246,1,44,2,1,2,0
247,2,25,0,3,3,0
248,2,24,2,2,3,1
249,1,37,2,1,3,1
250,1,54,1,2,3,0
251,1,0,0,3,3,0
252,2,29,2,3,3,0
253,1,62,0,1,3,0
254,1,30,1,3,3,0
255,2,41,2,3,3,0
256,2,29,2,3,1,1
257,2,0,0,1,1,1
258,2,30,0,1,3,1
259,2,35,0,1,1,1
260,2,50,1,2,3,1
261,1,0,0,3,2,0
262,1,3,6,3,3,1
263,1,52,2,1,3,0
264,1,40,0,1,3,0
265,2,0,0,3,2,0
266,1,36,0,2,3,0
267,1,16,5,3,3,0
268,1,25,1,3,3,1
269,2,58,1,1,3,1
270,2,35,0,1,3,1
271,1,0,0,1,3,0
272,1,25,0,3,3,1
273,2,41,1,2,3,1
274,1,37,1,1,1,0
275,2,0,0,3,2,1
276,2,63,1,1,3,1
277,2,45,0,3,3,0
278,1,0,0,2,3,0
279,1,7,5,3,2,0
280,2,35,2,3,3,1
281,1,65,0,3,2,0
282,1,28,0,3,3,0
283,1,16,0,3,3,0
284,1,19,0,3,3,1
285,1,0,0,1,3,0
286,1,33,0,3,1,0
287,1,30,0,3,3,1
288,1,22,0,3,3,0
289,1,42,0,2,3,1
290,2,22,0,3,2,1
291,2,26,0,1,3,1
292,2,19,1,1,1,1
293,1,36,0,2,1,0
294,2,24,0,3,3,0
295,1,24,0,3,3,0
296,1,0,0,1,1,0
297,1,23.5,0,3,1,0
298,2,2,3,1,3,0
